IowaComputerGurus;aspnetcore.utilities.bootstraptaghelpers;IowaComputerGurus/aspnetcore.utilities.bootstraptaghelpers;.github/workflows/ci-build.yml;sonar;false
BEIS-Digital-Services;htg-learning-platform;BEIS-Digital-Services/htg-learning-platform;.github/workflows/build-sonar.yml;sonar;false
GroceryMateOst;GroceryMateCodeBase;GroceryMateOst/GroceryMateCodeBase;.github/workflows/Sonarcloud.yml;sonar;false
HerculesCRUE;GnossDeustoBackend;HerculesCRUE/GnossDeustoBackend;.github/workflows/sonar-identityServerHercules.yml;sonar;false
usdot-jpo-ode;jpo-cvmanager;usdot-jpo-ode/jpo-cvmanager;.github/workflows/ci.yml;sonar;false
jhipster;jhipster-dotnet;jhipster/jhipster-dotnet;.github/workflows/dotnet.yml;sonar;false
HerculesCRUE;GnossDeustoBackend;HerculesCRUE/GnossDeustoBackend;.github/workflows/sonar-api_carga.yml;sonar;false
avides;alertmanager-overview;avides/alertmanager-overview;.github/workflows/release.yml;sonar;false
arkuznetsov;yard;arkuznetsov/yard;.github/workflows/qa.yml;sonar;false
uparrows;Kavita;uparrows/Kavita;.github/workflows/sonar-scan.yml;sonar;false
artbear;1commands;artbear/1commands;.github/workflows/qa.yml;sonar;false
punk-security;smbeagle;punk-security/smbeagle;.github/workflows/sonarcloud.yml;sonar;false
k-boyle;Espeon;k-boyle/Espeon;.github/workflows/dotnet-5.yml;sonar;false
ckormanyos;mandelbrot;ckormanyos/mandelbrot;.github/workflows/mandelbrot_sonar.yml;sonar;false
tjololo;hello-dotnet;tjololo/hello-dotnet;.github/workflows/analyse.yaml;sonar;false
wiktorkowalski;WojtusDiscord;wiktorkowalski/WojtusDiscord;.github/workflows/sonar-scan.yml;sonar;false
wivuu;Wivuu.AspNetCore.APIKey;wivuu/Wivuu.AspNetCore.APIKey;.github/workflows/build-sonarqube.yml;sonar;false
ArturWincenciak;Blef;ArturWincenciak/Blef;.github/workflows/ci-sonar-cloud-analyzy.yml;sonar;false
fledge-power;fledgepower-notify-systemsp;fledge-power/fledgepower-notify-systemsp;.github/workflows/ci.yml;sonar;false
RedisInsight;RedisDesktopManager;RedisInsight/RedisDesktopManager;.github/workflows/sonar.yml;sonar;false
vbondarevsky;1connector;vbondarevsky/1connector;.github/workflows/qa.yml;sonar;false
wildstrategies;dotnet-file-manager;wildstrategies/dotnet-file-manager;.github/workflows/analyze.yml;sonar;false
nclient;NClient;nclient/NClient;.github/workflows/sonarcloud-analysis.yml;sonar;false
emidiomorgia;time-tide-dotnet;emidiomorgia/time-tide-dotnet;.github/workflows/bff-build.yml;sonar;false
Flexberry;NewPlatform.Flexberry.ORM.ClickHouseDataService;Flexberry/NewPlatform.Flexberry.ORM.ClickHouseDataService;.github/workflows/sonar.yml;sonar;false
DanielThyselius;System22;DanielThyselius/System22;.github/workflows/CodeAnalysis.yml;sonar;false
Depressurizer;Depressurizer;Depressurizer/Depressurizer;.github/workflows/sonarcloud-push.yml;sonar;false
felipementel;DEPLOY.Cachorro.Api;felipementel/DEPLOY.Cachorro.Api;.github/workflows/pull-request-sonar.yml;sonar;false
ConsumerDataRight;mock-register;ConsumerDataRight/mock-register;.github/workflows/sonarcloud-analysis.yml;sonar;false
dvsa;cvs-tsk-enquiry-evl-file-push;dvsa/cvs-tsk-enquiry-evl-file-push;.github/workflows/pr-checks.yml;sonar;false
nullfx;NullFX.CRC;nullfx/NullFX.CRC;.github/workflows/cicd-actions.yml;sonar;false
drcjt;CSharp-80;drcjt/CSharp-80;.github/workflows/MainBuild.yml;sonar;false
quotient-im;libQuotient;quotient-im/libQuotient;.github/workflows/ci.yml;sonar;false
Pure-Farming;DataSourceAgent;Pure-Farming/DataSourceAgent;.github/workflows/sonar.yml;sonar;false
ivaaak;.NET-RealEstate;ivaaak/.NET-RealEstate;.github/workflows/sonar/scanner.yml;sonar;false
1c-syntax;oscript-actions-template;1c-syntax/oscript-actions-template;.github/workflows/qa.yml;sonar;false
ipphone;core;ipphone/core;.github/workflows/ci.yml;sonar;false
philips-software;post-to-medium-action;philips-software/post-to-medium-action;.github/workflows/sonar.yaml;sonar;false
cazofeifacr;MSTest-HelloWorld;cazofeifacr/MSTest-HelloWorld;.github/workflows/dotnet-winx64.yml;sonar;false
